filename,width,height,class,xmin,ymin,xmax,ymax
"  (1).jpg",800,600,chax,151,98,700,554
"  (1000).jpg",800,600,chax,246,131,653,412
"  (1001).jpg",800,600,chax,212,204,530,432
"  (1002).jpg",800,600,chax,1,72,791,544
"  (1003).jpg",800,600,chax,136,200,621,454
"  (1004).jpg",800,600,chax,73,199,322,489
"  (1005).jpg",800,600,chax,41,35,721,577
"  (1006).jpg",800,600,chax,42,34,738,589
"  (1007).jpg",800,600,chax,282,211,485,411
"  (1008).jpg",800,600,chax,58,36,190,132
"  (1008).jpg",800,600,chax,57,148,164,261
"  (1008).jpg",800,600,chax,31,376,138,474
"  (1008).jpg",800,600,chax,100,266,188,364
"  (1008).jpg",800,600,chax,131,401,208,496
"  (1008).jpg",800,600,chax,240,336,328,485
"  (1008).jpg",800,600,chax,194,264,275,374
"  (1008).jpg",800,600,chax,347,391,445,498
"  (1008).jpg",800,600,chax,327,311,416,391
"  (1008).jpg",800,600,chax,451,401,550,487
"  (1008).jpg",800,600,chax,556,373,640,474
"  (1008).jpg",800,600,chax,491,294,570,414
"  (1008).jpg",800,600,chax,654,362,771,469
"  (1008).jpg",800,600,chax,197,123,264,223
"  (1008).jpg",800,600,chax,222,14,299,130
"  (1008).jpg",800,600,chax,341,16,425,114
"  (1008).jpg",800,600,chax,287,107,381,188
"  (1008).jpg",800,600,chax,447,6,531,118
"  (1008).jpg",800,600,chax,569,2,647,108
"  (1008).jpg",800,600,chax,630,24,724,139
"  (1008).jpg",800,600,chax,661,224,732,324
"  (1008).jpg",800,600,chax,515,194,615,272
"  (1008).jpg",800,600,chax,395,199,493,319
"  (1008).jpg",800,600,chax,617,136,698,223
"  (1008).jpg",800,600,chax,343,182,411,272
"  (1008).jpg",800,600,chax,271,182,343,266
"  (1008).jpg",800,600,chax,486,102,546,198
"  (1008).jpg",800,600,chax,537,111,612,188
"  (1012).jpg",800,600,chax,47,1,781,600
"  (1013).jpg",800,600,chax,434,227,736,414
"  (1014).jpg",800,600,chax,61,33,741,521
"  (1015).jpg",800,600,chax,13,60,782,575
"  (1016).jpg",800,600,chax,71,64,631,504
"  (1017).jpg",800,600,chax,165,65,506,454
"  (1018).jpg",800,600,chax,94,45,656,585
"  (1019).jpg",800,600,chax,38,95,708,598
"  (1020).jpg",800,600,chax,9,82,800,583
"  (1021).jpg",800,600,chax,94,29,742,551
"  (1024).jpg",800,600,chax,40,49,656,484
"  (1025).jpg",800,600,chax,252,90,597,408
"  (1026).jpg",800,600,chax,299,64,770,567
"  (1027).jpg",800,600,chax,70,50,799,600
"  (1028).jpg",800,600,chax,53,48,761,524
"  (1029).jpg",800,600,chax,164,71,453,475
"  (1030).jpg",800,600,chax,318,14,772,566
"  (1031).jpg",800,600,chax,188,71,628,318
"  (1032).jpg",800,600,chax,31,104,297,411
"  (1032).jpg",800,600,chax,328,39,536,446
"  (1032).jpg",800,600,chax,589,105,770,395
"  (1033).jpg",800,600,chax,98,33,780,568
"  (1036).jpg",800,600,chax,36,54,761,508
"  (1037).jpg",800,600,chax,171,37,622,510
"  (1038).jpg",800,600,chax,21,152,361,396
"  (1038).jpg",800,600,chax,394,281,564,557
"  (1038).jpg",800,600,chax,331,14,552,284
"  (1038).jpg",800,600,chax,626,434,800,599
"  (1039).jpg",800,600,chax,59,30,755,584
"  (1040).jpg",800,600,chax,191,119,570,476
"  (1041).jpg",800,600,chax,5,47,225,522
"  (1041).jpg",800,600,chax,287,31,523,527
"  (1041).jpg",800,600,chax,561,67,762,517
"  (1042).jpg",800,600,chax,81,84,701,531
"  (1043).jpg",800,600,chax,72,53,719,520
"  (1044).jpg",800,600,chax,41,75,725,504
"  (1045).jpg",800,600,chax,78,79,708,502
"  (1048).jpg",800,600,chax,31,88,751,497
"  (1049).jpg",800,600,chax,162,71,627,527
"  (1050).jpg",800,600,chax,158,55,778,509
"  (1051).jpg",800,600,chax,245,157,710,474
"  (1052).jpg",800,600,chax,31,71,781,506
"  (1053).jpg",800,600,chax,143,108,648,480
"  (1054).jpg",800,600,chax,32,10,771,563
"  (1055).jpg",800,600,chax,136,183,599,536
"  (1056).jpg",800,600,chax,43,147,769,489
"  (1057).jpg",800,600,chax,106,154,472,480
"  (1057).jpg",800,600,chax,427,144,752,474
"  (1060).jpg",800,600,chax,92,4,451,332
"  (1060).jpg",800,600,chax,529,1,775,237
"  (1061).jpg",800,600,chax,21,5,748,574
"  (1062).jpg",800,600,chax,26,1,758,549
"  (1063).jpg",800,600,chax,202,23,605,557
"  (1064).jpg",800,600,chax,171,74,638,337
"  (1065).jpg",800,600,chax,71,124,311,259
"  (1065).jpg",800,600,chax,405,78,719,297
"  (1065).jpg",800,600,chax,315,287,513,542
"  (1065).jpg",800,600,chax,91,228,333,441
"  (1066).jpg",800,600,chax,19,59,782,567
"  (1067).jpg",800,600,chax,81,13,661,559
"  (1068).jpg",800,600,chax,18,37,735,518
"  (1069).jpg",800,600,chax,45,24,468,472
"  (1072).jpg",800,600,chax,350,49,785,297
"  (1073).jpg",800,600,chax,22,69,699,541
"  (1074).jpg",800,600,chax,36,22,657,418
"  (1075).jpg",800,600,chax,24,45,791,579
"  (1076).jpg",800,600,chax,234,106,589,476
"  (1077).jpg",800,600,chax,91,150,302,428
"  (1077).jpg",800,600,chax,462,204,711,425
"  (1077).jpg",800,600,chax,316,125,561,380
"  (1078).jpg",800,600,chax,56,21,792,576
"  (1079).jpg",800,600,chax,34,19,779,559
"  (1080).jpg",800,600,chax,237,186,352,384
"  (1080).jpg",800,600,chax,363,232,461,334
"  (1080).jpg",800,600,chax,493,190,580,283
"  (1080).jpg",800,600,chax,421,304,511,383
"  (1081).jpg",800,600,chax,35,27,766,514
"  (1084).jpg",800,600,chax,293,45,733,531
"  (1085).jpg",800,600,chax,107,3,778,596
"  (1086).jpg",800,600,chax,463,157,740,458
"  (1087).jpg",800,600,chax,1,226,306,524
"  (1087).jpg",800,600,chax,398,79,772,359
"  (1088).jpg",800,600,chax,187,35,664,497
"  (1089).jpg",800,600,chax,535,144,773,369
"  (1089).jpg",800,600,chax,404,324,546,503
"  (1089).jpg",800,600,chax,81,281,362,463
"  (1089).jpg",800,600,chax,254,142,429,255
"  (1089).jpg",800,600,chax,268,263,465,334
"  (1090).jpg",800,600,chax,73,10,757,567
"  (1091).jpg",800,600,chax,227,25,608,474
"  (1092).jpg",800,600,chax,158,134,611,504
"  (1093).jpg",800,600,chax,35,3,781,532
"  (1096).jpg",800,600,chax,219,221,577,585
"  (1097).jpg",800,600,chax,133,32,711,547
"  (1098).jpg",800,600,chax,39,65,754,515
"  (1099).jpg",800,600,chax,51,84,778,570
"  (1100).jpg",800,600,chax,98,77,641,429
"  (1101).jpg",800,600,chax,98,151,243,347
"  (1101).jpg",800,600,chax,291,271,523,458
"  (1101).jpg",800,600,chax,455,413,581,577
"  (1102).jpg",800,600,chax,128,126,645,549
"  (1103).jpg",800,600,chax,103,203,741,394
"  (1104).jpg",800,600,chax,372,332,682,567
"  (1104).jpg",800,600,chax,111,151,295,516
"  (1104).jpg",800,600,chax,265,47,575,320
"  (1105).jpg",800,600,chax,112,47,592,444
"  (1109).jpg",800,600,chax,11,1,787,549
"  (1110).jpg",800,600,chax,84,44,781,503
"  (1111).jpg",800,600,chax,79,159,661,510
"  (1112).jpg",800,600,chax,32,26,737,557
"  (1113).jpg",800,600,chax,356,341,529,559
"  (1113).jpg",800,600,chax,34,59,172,230
"  (1113).jpg",800,600,chax,567,64,732,248
"  (1113).jpg",800,600,chax,603,509,723,569
"  (1114).jpg",800,600,chax,31,13,535,579
"  (1116).jpg",800,600,chax,132,2,587,464
"  (1117).jpg",800,600,chax,254,300,606,519
"  (1118).jpg",800,600,chax,48,19,773,575
"  (1119).jpg",800,600,chax,66,83,761,549
"  (1122).jpg",800,600,chax,1,201,390,421
"  (1122).jpg",800,600,chax,386,154,795,411
"  (1123).jpg",800,600,chax,141,15,673,519
"  (1124).jpg",800,600,chax,353,1,645,368
"  (1125).jpg",800,600,chax,127,254,638,480
"  (1126).jpg",800,600,chax,103,80,781,519
"  (1127).jpg",800,600,chax,44,43,716,560
"  (1128).jpg",800,600,chax,17,1,800,595
"  (1129).jpg",800,600,chax,66,184,721,378
"  (1130).jpg",800,600,chax,13,122,800,552
"  (1131).jpg",800,600,chax,81,137,777,511
"  (1134).jpg",800,600,chax,12,118,775,517
"  (1135).jpg",800,600,chax,100,195,420,421
"  (1136).jpg",800,600,chax,166,109,560,589
"  (1137).jpg",800,600,chax,259,70,563,483
"  (1138).jpg",800,600,chax,4,4,363,503
"  (1139).jpg",800,600,chax,24,43,739,578
"  (1140).jpg",800,600,chax,16,49,778,552
"  (1141).jpg",800,600,chax,148,329,561,529
"  (1141).jpg",800,600,chax,149,110,649,338
"  (1142).jpg",800,600,chax,20,33,760,497
"  (1143).jpg",800,600,chax,216,16,747,587
"  (1146).jpg",800,600,chax,86,120,364,297
"  (1146).jpg",800,600,chax,488,253,709,424
"  (1147).jpg",800,600,chax,15,1,488,593
"  (1148).jpg",800,600,chax,18,1,772,596
"  (1149).jpg",800,600,chax,101,144,777,540
"  (1150).jpg",800,600,chax,227,128,569,311
"  (1150).jpg",800,600,chax,71,300,541,534
"  (1151).jpg",800,600,chax,46,28,769,516
"  (1152).jpg",800,600,chax,181,206,778,430
"  (1153).jpg",800,600,chax,98,199,667,449
"  (1154).jpg",800,600,chax,133,90,641,493
"  (1155).jpg",800,600,chax,14,11,792,577
"  (1158).jpg",800,600,chax,512,314,798,594
"  (1158).jpg",800,600,chax,117,121,627,461
"  (1159).jpg",800,600,chax,29,114,780,503
"  (1160).jpg",800,600,chax,254,191,565,407
"  (1161).jpg",800,600,chax,11,19,800,595
"  (1162).jpg",800,600,chax,158,148,740,470
"  (1163).jpg",800,600,chax,481,97,791,210
"  (1164).jpg",800,600,chax,1,2,782,544
"  (1165).jpg",800,600,chax,41,109,745,436
"  (1166).jpg",800,600,chax,105,79,714,434
"  (1167).jpg",800,600,chax,161,88,628,517
"  (1170).jpg",800,600,chax,18,24,770,600
"  (1171).jpg",800,600,chax,143,135,694,478
"  (1172).jpg",800,600,chax,21,100,791,580
"  (1173).jpg",800,600,chax,74,38,696,581
"  (1174).jpg",800,600,chax,27,153,752,569
"  (1175).jpg",800,600,chax,344,60,733,600
"  (1176).jpg",800,600,chax,309,5,794,570
"  (1176).jpg",800,600,chax,3,10,303,322
"  (1176).jpg",800,600,chax,8,339,151,572
"  (1176).jpg",800,600,chax,168,339,303,556
"  (1177).jpg",800,600,chax,24,78,398,480
"  (1177).jpg",800,600,chax,414,84,768,548
"  (1178).jpg",800,600,chax,26,380,311,589
"  (1179).jpg",800,600,chax,126,152,706,483
"  (1182).jpg",800,600,chax,29,11,760,574
